Comment,Designator,Footprint,LCSC,
33,"R14,R18",R_0603_1608Metric,C13320,wrong!
3k,"R1,R11,R13,R16,R8",R_0603_1608Metric,C137732,
OPA188xxDBV,"U1,U3",TSOT-23-5,C140312,
0.1u,"C10,C11,C2,C3,C31,C32,C39,C4,C47,C6,C8,C9",C_0603_1608Metric,C1591,
10p,C12,C_0603_1608Metric,C1634,
27.4k,"R10,R7",R_0603_1608Metric,C165753,
4p,C7,C_0603_1608Metric,C1668,
Ferrite_Bead,FB1,C_1206_3216Metric,C16902,
33.2k,R6,R_0603_1608Metric,C185338,
24AA025UID,U6,SOIC-8_3.9x4.9mm_P1.27mm,C194184,
OPA1641,U5,SOIC-8_3.9x4.9mm_P1.27mm,C2057597,
0,R71,R_0603_1608Metric,C21189,
60.4k,R5,R_0603_1608Metric,C227512,
30k,"R15,R2",R_0603_1608Metric,C22984,
1,R66,R_0603_1608Metric,C25212,
Conn_Coaxial,J5,BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,C2837587,
LP2981A-33DBVT,U9,SOT-23-5,C2872227,
Conn_Coaxial,J1,BU-SMA-G,C2874827,
10k,RV1,Potentiometer_Bourns_3269W_Vertical,C2922104,
HDMI_A,J4,CONN_10029449-111RLF_HDMI_A,C427307,
MCP4017T-103E_LT,U4,SOT-363,C478095,
10k,"R3,R9",R_0603_1608Metric,C5139509,
ADA4000-1,U2,SOIC-8_3.9x4.9mm_P1.27mm,C653968,
4.7u,C5,C_0603_1608Metric,C69335,
DNI,R4,R_0603_1608Metric,,
DNI,H3,MountingHole_2.2mm_M2_Pad,,
DNI,H7,MountingHole_2.2mm_M2,,
Conn_01x04,J2,PinHeader_1x04_P2.54mm_Horizontal,,
DNI,C1,C_0603_1608Metric,,
RCT-0C,TP2,Test_Point_D1.02mm,,
DNI,C19,C_0603_1608Metric,,
DAC101C081CIMK_NOPB,IC1,TSOT-23-6,,
DNI,TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,,
DNI,H1,MountingHole_2.2mm_M2,,
DNI,R12,R_0603_1608Metric,,
RCT-0C,TP1,Test_Point_D1.02mm,,
DNI,C13,C_0603_1608Metric,,
DNI,H2,MountingHole_2.2mm_M2,,